bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
1.059573590288193579e+01,9.122500000000000000e+02,1.139237037709852984e+01,-6.383514536151972507e+00,1.470866630959125416e+02,-1.790000000000000036e+00
8.086074759953332247e+00,5.940374967172310789e+02,7.682462897857647022e+00,-4.148567903692066849e+00,3.203110271664551192e+02,-1.680354982465130043e+00
8.294436213027687188e+00,6.132125703887243162e+02,1.246536842440315240e+01,-5.106817751175658060e+00,5.711264780845142752e+01,-1.349427644160640094e+00
1.047359859167656815e+01,4.679197970456754092e+02,1.315472995876825735e+01,-2.508967550748769426e+00,2.867402704754506999e+02,-1.932485360180590028e+00
1.072826448719739822e+01,9.397500000000000000e+02,5.479001012294588691e+00,-2.299535278589505793e+00,4.467467041244118491e+02,-2.231373116016159841e+00
1.076202545143812905e+01,1.187250000000000000e+03,2.054974279960111971e+01,-7.172569269741673637e+00,4.642063151877147789e+02,-1.334568834599989984e+00
1.158592460181268891e+01,1.704249999998589374e+03,7.870287616332973357e+00,-3.317602760498019165e+00,1.154326516612724731e+02,-1.975171886640890051e+00
1.103138808585570807e+01,1.709749999996603492e+03,7.202371010712170118e+00,-6.127519147807071853e+00,3.929085270155954390e+02,-1.344099693210150104e+00
7.454200501625739328e+00,1.209250000000000000e+03,6.312567431489696901e+00,-1.470087277891566124e+00,2.228841610834552966e+02,-1.358336746353520086e+00
8.501843594282332717e+00,8.242500000000000000e+02,1.184203561823636619e+01,-3.620236841776369729e+00,1.566397490893035069e+02,-1.586427919514769913e+00
8.938649629518392814e+00,9.837500000000000000e+02,7.304694818001678414e+00,-3.548028859147610348e+00,2.935540356187418070e+02,-1.403726220291170002e+00
8.645191428856414007e+00,6.977489948874991796e+02,1.056003175054627263e+01,-5.389661256900047270e+00,2.898963148925989231e+02,-1.773358176045040091e+00
9.804042260674394882e+00,9.232500000000000000e+02,1.196349684403548963e+01,-4.423168297247084269e+00,1.368199542287216559e+02,-1.574849870520939943e+00
9.082960804166608781e+00,8.902500000000000000e+02,1.353656781157224032e+01,-5.596541769124731225e+00,9.331007176884213550e+01,-1.418765752960629900e+00
9.874911017272207658e+00,7.747500000000000000e+02,1.413099715381986243e+01,-3.876626131017614441e+00,3.078680021460248213e+02,-1.627720169474470069e+00
9.507744262775657873e+00,1.066250000000000000e+03,1.015408165581129651e+01,-6.183951125696135698e+00,1.738139067629248018e+02,-1.688225973291219928e+00
8.918385352039150504e+00,8.077500000000000000e+02,5.290395780908056622e+00,-4.713483281900480826e+00,3.601394293317132451e+02,-1.605680124453549906e+00
1.017958195521331888e+01,6.583138958477871938e+02,1.029321806650739290e+01,-3.165580158750161743e+00,2.528963973854352218e+02,-1.380007179113849958e+00
7.871335442756366874e+00,1.000250000000000000e+03,1.162683812297319719e+01,-5.395359794141662668e+00,2.197107996830110324e+02,-1.861038772928339968e+00
8.117321480641495057e+00,1.082750000000000000e+03,1.767148558747516063e+01,-3.370574681399902239e+00,3.673965888968781428e+02,-1.550655209107560051e+00
9.252621769451302214e+00,1.148750000000000000e+03,6.657974511750069269e+00,-2.089169881848834009e+00,2.589103008932808052e+02,-1.621249014918229925e+00
9.482122990276474539e+00,1.011250000000000000e+03,1.140226460599592428e+01,-4.975747980955778971e+00,3.633617611462972832e+02,-1.459889309197470064e+00
9.842100431444352537e+00,5.485524583719691236e+02,1.620339486941810492e+01,-5.861270668497127190e+00,3.037330341594764604e+02,-1.837242851305300073e+00
9.264831709059194509e+00,7.362500000008748202e+02,1.406136788499196655e+01,-5.088401275647583155e+00,6.823674501316283170e+01,-1.760110122896229923e+00
1.056511138565974761e+01,7.417500000001217586e+02,1.068204288007194691e+01,-4.751279013922783179e+00,4.652202406718100747e+02,-1.739958258617579911e+00
9.516613077808056431e+00,5.485524583719691236e+02,1.819234571196926709e+01,-3.322929778900737929e+00,2.371336894276439580e+02,-1.440287055966049889e+00
1.067683614952720639e+01,9.177500000000000000e+02,1.367170642953033166e+01,-2.275065043927604336e+00,1.834648447540683946e+02,-1.826657978213960032e+00
1.022151013022268096e+01,1.115750000000000000e+03,1.645881288377381679e+01,-2.869171680083860032e+00,4.306816824795787397e+02,-1.716124915390389916e+00
8.281300875209927526e+00,7.142499927645829985e+02,1.418690213585307447e+01,-3.409641420916684318e+00,2.623103559178409796e+02,-1.891496895144660018e+00
9.743458107221211861e+00,7.637500000000000000e+02,5.842832972534438341e+00,-4.072156256931657836e+00,2.103565467400916305e+02,-1.908904388336770008e+00
8.604487091463232318e+00,1.209250000000000000e+03,1.843013934249455588e+01,-5.618636911381075905e+00,3.371601879997769515e+02,-1.428722256969870097e+00
8.939115599345553775e+00,8.352500000000000000e+02,4.934115913777361584e+00,-6.782220573138276976e+00,1.399926454662468132e+02,-1.376702540947559950e+00
1.112814445887313575e+01,6.642763052114300990e+02,1.562546361424421093e+01,-4.953124081358591724e+00,2.647664555762412988e+02,-1.422466768685550109e+00
1.059872846664045909e+01,1.099250000000000000e+03,1.271966753175036047e+01,-7.217024231797673828e+00,1.525530682819713491e+02,-1.322885280578290024e+00
8.183466031838609211e+00,1.159750000000000000e+03,1.586161490771729632e+01,-6.609817562171172334e+00,3.712572866871351351e+01,-1.533280762972689892e+00
7.636320011368197491e+00,8.957500000000000000e+02,1.839611694394420738e+01,-1.360645185518943201e+00,8.233449481555784644e+01,-1.517045571643260038e+00
8.266666249456665838e+00,8.517500000000000000e+02,8.706063704879852594e+00,-4.073049766590663978e+00,1.896933605178661537e+02,-1.484068098125919999e+00
9.346628988480919276e+00,1.115750000000000000e+03,7.965802255718756442e+00,-2.564087072363073538e+00,4.217253780434717783e+02,-1.312114998727760051e+00
8.705296054787412530e+00,6.756568876415205978e+02,2.736195390691932516e+00,-2.610616517891473087e+00,4.189775864522226243e+02,-1.465842665426670077e+00
7.423388987089002633e+00,9.067500000000000000e+02,1.393677671751311209e+01,-1.826417406210348204e+00,4.331547507501507539e+02,-1.644543330426379901e+00
1.124782244925031094e+01,5.035644895929905260e+02,9.742336421636650812e+00,-2.047396013885443011e+00,4.076332385271642806e+02,-1.390063450909539977e+00
1.058379065679732278e+01,1.225750000000000000e+03,9.513589306202447915e+00,-6.106080992007206554e+00,4.452133808164375068e+02,-1.802159205674400022e+00
9.019891960217854887e+00,5.940374967172310789e+02,8.452869082474933293e+00,-7.070453556134409290e+00,3.725253532614502205e+02,-1.651836168995040044e+00
1.035934829994533324e+01,1.121250000000000000e+03,5.275497743744097079e+00,-2.918218620465591329e+00,1.070555427822956887e+02,-1.333311931000040085e+00
1.101742120010898951e+01,9.232500000000000000e+02,3.841509845814186974e+00,-5.072568202669505588e+00,9.921578734844122494e+01,-1.546271047143980004e+00
1.032208512213214568e+01,5.485524583719691236e+02,2.017190933352043203e+01,-7.543321721871793173e+00,9.084117371823550968e+01,-1.513214894866270033e+00
7.682721907651085758e+00,1.275250000000000000e+03,6.827216034546324863e+00,-5.133364594458312169e+00,3.833760136632089370e+02,-1.570284509453260036e+00
9.215011313675539384e+00,9.837500000000000000e+02,1.690499060301220879e+01,-3.329398641557938632e+00,2.645583759017317860e+01,-1.300552443916590084e+00
1.060355469048796095e+01,1.132250000000000000e+03,1.913415119322428382e+01,-4.542185964906354734e+00,5.916948752591531502e+01,-1.710109424413579937e+00
7.960302968298279325e+00,1.027750000000000000e+03,8.147385512631444726e+00,-1.390212298209050346e+00,1.655271900835792565e+02,-2.020209405083900123e+00
8.592813170801619549e+00,6.220768716260092788e+02,7.108306513321281273e+00,-6.785989011527750137e+00,2.093433066962134248e+01,-2.081771705987600196e+00
1.020243295413854057e+01,5.485524583719691236e+02,4.243198168413925941e+00,-6.332185774549948576e+00,3.287340382953666449e+02,-1.319879305670260017e+00
9.136856441368498949e+00,1.225750000000000000e+03,4.499305103294091168e+00,-6.033357754243407811e+00,1.082115010951794964e+01,-1.503763121886950049e+00
9.182880276967136268e+00,5.198014814955513430e+02,1.684953630250697643e+01,-4.354438044738462743e+00,4.977356935182739903e+02,-1.478408641647469990e+00
8.486317311472886260e+00,1.137750000000000000e+03,1.958074960611679671e+01,-4.363818766810659611e+00,3.809003446548054512e+02,-2.050213087227109821e+00
9.940834335137015643e+00,5.198014814955513430e+02,1.017720346966387979e+01,-2.977842269287718224e+00,4.748313264559817526e+01,-1.448885119911470065e+00
1.091615046342403872e+01,9.782500000000000000e+02,1.778612652734943822e+01,-2.049865306733343218e+00,3.151476442797394384e+02,-1.400084506285740105e+00
7.744132551726072400e+00,6.977489948874991796e+02,3.355189215339748898e+00,-4.334119997921242806e+00,4.652412735930788585e+02,-2.292227530890400100e+00
7.788474919520517403e+00,8.022500000000000000e+02,1.692462526374447407e+01,-7.161097035978389869e+00,2.397130989961996761e+02,-1.362997457726810024e+00
8.020774585016777536e+00,4.862040363003622474e+02,1.928126083540689706e+01,-2.360341994786949726e+00,1.126501498659668528e+02,-2.126615897051160164e+00
1.098517006586497757e+01,7.527500000000002274e+02,1.379409257480227780e+01,-6.211668196097066996e+00,1.972413131840171161e+02,-2.172698030787080015e+00
7.861248717171835487e+00,5.347987392945051397e+02,3.462896622300945637e+00,-5.919498232915472613e+00,7.853560638103496672e+01,-1.958330357576999914e+00
8.538438654644515680e+00,6.867377359393055940e+02,5.015136179674527739e+00,-2.353705745205539657e+00,7.122229856090788758e+01,-1.729057766229000093e+00
8.825245580603528595e+00,5.728266919215591315e+02,4.930711348784541315e+00,-7.276633418431730504e+00,4.222781808639089149e+02,-1.405815439016830037e+00
7.854313359660613614e+00,6.977489948874991796e+02,7.850937705103433473e+00,-1.808183399034954952e+00,4.727782242828379253e+02,-2.099835801223819853e+00
8.398612565606958569e+00,5.035644895929905260e+02,1.633762695272992005e+01,-2.032393291363242760e+00,3.127966087441280933e+02,-1.373462287190510001e+00
1.110754417602428035e+01,1.275250000000000000e+03,4.169318600887834236e+00,-4.841100741274048325e+00,3.983063046328219770e+01,-1.366611996826099906e+00
1.008276945767579313e+01,5.611684119244330304e+02,1.724268297971866559e+01,-6.654861471945683782e+00,4.039929414887149051e+02,-1.385208196910409972e+00
7.699297901158399959e+00,1.176250000000000000e+03,6.051552141936326734e+00,-1.802337852502812865e+00,2.550087054521466001e+01,-2.198981797747430189e+00
9.096020153167721389e+00,1.016750000000000000e+03,1.714541456982391310e+01,-5.830610981356260325e+00,4.293189800345307958e+02,-1.340926136423600035e+00
8.039664656546060328e+00,8.242500000000000000e+02,2.873785425232483703e+00,-6.473777101032927916e+00,4.742315899884339956e+02,-1.314981809605179963e+00
9.897684614406694337e+00,8.902500000000000000e+02,1.863075154896711183e+01,-4.438616467380206210e+00,1.149775860495202693e+02,-1.812011304501250031e+00
8.953491278080726090e+00,7.582500000000000000e+02,1.315856264643218765e+01,-3.111304816887612290e+00,3.545698099233364928e+02,-1.471771080493680106e+00
9.352483327013386472e+00,9.892500000000000000e+02,4.876955915419330267e+00,-4.330380590994090895e+00,1.923596986494122518e+02,-1.996639354504740060e+00
9.470599176664496355e+00,7.417500000001217586e+02,1.390279702527823247e+01,-4.005547613952283648e+00,2.810750039371383195e+02,-1.585458899154670087e+00
9.382344257926737541e+00,9.947500000000000000e+02,1.119656893127347530e+01,-3.263609400340262923e+00,1.846100496846317185e+02,-1.874415303821699963e+00
1.104251483672684309e+01,1.049750000000000000e+03,6.456350819987335399e+00,-4.240796272608871931e+00,2.475170107201205099e+02,-1.430037823323240032e+00
8.800664337176636209e+00,7.307500000004743015e+02,9.123683519041378531e+00,-3.781256548856969602e+00,2.747261013627477837e+02,-1.640533597748329964e+00
1.132821668617133248e+01,1.049750000000000000e+03,9.889165222278222700e+00,-5.264918522976888227e+00,3.780163168920287262e+02,-1.523976103859999931e+00
7.340129896408046584e+00,1.198250000000000000e+03,1.124980422570314431e+01,-5.699339706903729486e+00,3.249940512563344441e+02,-1.659719665216289997e+00
1.017255684371808933e+01,1.264250000000000000e+03,1.440739305822626193e+01,-4.449580924650760494e+00,1.216061886782460846e+02,-1.558019408333600087e+00
1.098877402488122890e+01,4.862040363003622474e+02,1.360920306415926007e+01,-7.497498968157053412e+00,1.764706809864073307e+02,-1.491620832300750044e+00
1.055247395634054186e+01,6.453536076727235695e+02,7.085328735244615928e+00,-2.824768336889444953e+00,1.053724719316178380e+02,-1.673413556236930111e+00
1.046982734046201280e+01,1.159750000000000000e+03,1.958769900669517483e+01,-3.219280810001887261e+00,2.820534544819270195e+02,-1.537405662917390003e+00
8.411919051725577745e+00,7.142499927645829985e+02,8.043954714035521647e+00,-3.988228786910937629e+00,2.920153429809324734e+02,-1.779359079353910023e+00
9.889022064659558353e+00,9.342500000000000000e+02,1.764711333490612333e+01,-4.157747356892037338e+00,1.454517155572915499e+02,-1.367907827105460106e+00
9.385553325133134450e+00,7.802500000000000000e+02,1.400261794250025105e+01,-3.267170591140630798e+00,1.963957896021466070e+02,-1.850464387499169971e+00
1.030428357521931559e+01,9.287500000000000000e+02,1.520631324896311298e+01,-4.622190039020589225e+00,3.761657923376678241e+02,-1.476597752719029932e+00
1.081057342520970366e+01,7.967500000000000000e+02,1.456581444912995948e+01,-7.159134643050046876e+00,2.776499493081237233e+02,-1.441756692994750066e+00
9.141736717306532256e+00,7.912500000000000000e+02,1.155450808804891949e+01,-3.761415462001652443e+00,2.726396151592226715e+02,-1.959726404246509901e+00
9.862890837032651348e+00,1.170750000000000000e+03,1.866930849039675877e+01,-4.184482703104898782e+00,3.588712451285468319e+02,-1.449389614623949996e+00
1.065569276287891221e+01,6.453536076727235695e+02,1.606929779732774932e+01,-1.867661795230413091e+00,3.452045729098339848e+02,-1.545484927711320067e+00
9.244685299401844247e+00,7.142499927645829985e+02,1.551789890890688639e+01,-6.394790109127010957e+00,3.492286811674453020e+02,-1.320689681815740091e+00
9.385553325133134450e+00,7.802500000000000000e+02,1.400261794250025105e+01,-3.267170591140630798e+00,1.963957896021466070e+02,-1.460444936966559970e+00
8.255974966641234758e+00,1.126750000000000000e+03,1.780750119392411079e+01,-3.341238368999711383e+00,3.882798059426863801e+02,-1.410917303957619939e+00
8.108146993942623837e+00,1.209250000000000000e+03,1.622054151050377868e+01,-2.181715232082028777e+00,3.330315139796304038e+02,-1.820463204049100003e+00
9.727088760951639657e+00,1.170750000000000000e+03,1.337312488164769775e+01,-2.407577929634205915e+00,2.500041174542806459e+02,-1.504480041017320024e+00
